"SampleName","Sample","Trt","SoilType","Variety","Rep","Block","Timepoint","SampleNumber","Weight","Plate","Well","Type"
"A09_1_ITS","A09","A","Fallow","MastersChoice",9,2,1,"1",299.3,1,"A1","ITS"
"A23_2_ITS","A23","A","Fallow","MastersChoice",23,3,2,"10",293.8,1,"A10","ITS"
"E10_2_ITS","E10","E","Mixture","MastersChoice",10,2,2,"100",308.9,2,"A4","ITS"
"E12_1_ITS","E12","E","Mixture","MastersChoice",12,2,1,"101",296.7,2,"A5","ITS"
"E12_2_ITS","E12","E","Mixture","MastersChoice",12,2,2,"102",301.5,2,"A6","ITS"
"E17_1_ITS","E17","E","Mixture","MastersChoice",17,3,1,"103",319.4,2,"A7","ITS"
"E17_2_ITS","E17","E","Mixture","MastersChoice",17,3,2,"104",306.6,2,"A8","ITS"
"E19_1_ITS","E19","E","Mixture","MastersChoice",19,3,1,"105",305.8,2,"A9","ITS"
"E19_2_ITS","E19","E","Mixture","MastersChoice",19,3,2,"106",314,2,"A10","ITS"
"E22_1_ITS","E22","E","Mixture","MastersChoice",22,3,1,"107",307.3,2,"A11","ITS"
"E22_2_ITS","E22","E","Mixture","MastersChoice",22,3,2,"108",301.5,2,"A12","ITS"
"E26_1_ITS","E26","E","Mixture","MastersChoice",26,4,1,"109",307.6,2,"B1","ITS"
"A24_1_ITS","A24","A","Fallow","MastersChoice",24,3,1,"11",315.6,1,"A11","ITS"
"E26_2_ITS","E26","E","Mixture","MastersChoice",26,4,2,"110",291.9,2,"B2","ITS"
"E28_1_ITS","E28","E","Mixture","MastersChoice",28,4,1,"111",301.4,2,"B3","ITS"
"E28_2_ITS","E28","E","Mixture","MastersChoice",28,4,2,"112",301.9,2,"B4","ITS"
"E29_1_ITS","E29","E","Mixture","MastersChoice",29,4,1,"113",296.4,2,"B5","ITS"
"E29_2_ITS","E29","E","Mixture","MastersChoice",29,4,2,"114",306.6,2,"B6","ITS"
"E33_1_ITS","E33","E","Mixture","MastersChoice",33,5,1,"115",316,2,"B7","ITS"
"E33_2_ITS","E33","E","Mixture","MastersChoice",33,5,2,"116",312.1,2,"B8","ITS"
"E37_1_ITS","E37","E","Mixture","MastersChoice",37,5,1,"117",314.8,2,"B9","ITS"
"E37_2_ITS","E37","E","Mixture","MastersChoice",37,5,2,"118",315.9,2,"B10","ITS"
"E38_1_ITS","E38","E","Mixture","MastersChoice",38,5,1,"119",300.1,2,"B11","ITS"
"A24_2_ITS","A24","A","Fallow","MastersChoice",24,3,2,"12",290.3,1,"A12","ITS"
"E38_2_ITS","E38","E","Mixture","MastersChoice",38,5,2,"120",309.3,2,"B12","ITS"
"A25_1_ITS","A25","A","Fallow","MastersChoice",25,4,1,"13",318.9,1,"B1","ITS"
"A25_2_ITS","A25","A","Fallow","MastersChoice",25,4,2,"14",312.9,1,"B2","ITS"
"G11_1_ITS","G11","G","Fallow","BlueRiverOrganic",11,2,1,"145",311.2,2,"E1","ITS"
"G11_2_ITS","G11","G","Fallow","BlueRiverOrganic",11,2,2,"146",315.8,2,"E2","ITS"
"G12_1_ITS","G12","G","Fallow","BlueRiverOrganic",12,2,1,"147",294.3,2,"E3","ITS"
"G12_2_ITS","G12","G","Fallow","BlueRiverOrganic",12,2,2,"148",316.5,2,"E4","ITS"
"G13_1_ITS","G13","G","Fallow","BlueRiverOrganic",13,2,1,"149",297,2,"E5","ITS"
"A26_1_ITS","A26","A","Fallow","MastersChoice",26,4,1,"15",312.3,1,"B3","ITS"
"G13_2_ITS","G13","G","Fallow","BlueRiverOrganic",13,2,2,"150",298.9,2,"E6","ITS"
"G17_1_ITS","G17","G","Fallow","BlueRiverOrganic",17,3,1,"151",293.2,2,"E7","ITS"
"G17_2_ITS","G17","G","Fallow","BlueRiverOrganic",17,3,2,"152",316.9,2,"E8","ITS"
"G18_1_ITS","G18","G","Fallow","BlueRiverOrganic",18,3,1,"153",290.2,2,"E9","ITS"
"G18_2_ITS","G18","G","Fallow","BlueRiverOrganic",18,3,2,"154",309.3,2,"E10","ITS"
"G20_1_ITS","G20","G","Fallow","BlueRiverOrganic",20,3,1,"155",296.2,2,"E11","ITS"
"G20_2_ITS","G20","G","Fallow","BlueRiverOrganic",20,3,2,"156",295,2,"E12","ITS"
"G25_1_ITS","G25","G","Fallow","BlueRiverOrganic",25,4,1,"157",305.2,2,"F1","ITS"
"G25_2_ITS","G25","G","Fallow","BlueRiverOrganic",25,4,2,"158",297.5,2,"F2","ITS"
"G26_1_ITS","G26","G","Fallow","BlueRiverOrganic",26,4,1,"159",303.5,2,"F3","ITS"
"A26_2_ITS","A26","A","Fallow","MastersChoice",26,4,2,"16",320.9,1,"B4","ITS"
"G26_2_ITS","G26","G","Fallow","BlueRiverOrganic",26,4,2,"160",317.7,2,"F4","ITS"
"G27_1_ITS","G27","G","Fallow","BlueRiverOrganic",27,4,1,"161",310.2,2,"F5","ITS"
"G27_2_ITS","G27","G","Fallow","BlueRiverOrganic",27,4,2,"162",304.6,2,"F6","ITS"
"G34_1_ITS","G34","G","Fallow","BlueRiverOrganic",34,5,1,"163",311.3,2,"F7","ITS"
"G34_2_ITS","G34","G","Fallow","BlueRiverOrganic",34,5,2,"164",316.5,2,"F8","ITS"
"G36_1_ITS","G36","G","Fallow","BlueRiverOrganic",36,5,1,"165",315.2,2,"F9","ITS"
"G36_2_ITS","G36","G","Fallow","BlueRiverOrganic",36,5,2,"166",292.6,2,"F10","ITS"
"G37_1_ITS","G37","G","Fallow","BlueRiverOrganic",37,5,1,"167",301.6,2,"F11","ITS"
"G37_2_ITS","G37","G","Fallow","BlueRiverOrganic",37,5,2,"168",319.4,2,"F12","ITS"
"H09_1_ITS","H09","H","Pea","BlueRiverOrganic",9,2,1,"169",303,2,"G1","ITS"
"A28_1_ITS","A28","A","Fallow","MastersChoice",28,4,1,"17",305.8,1,"B5","ITS"
"H09_2_ITS","H09","H","Pea","BlueRiverOrganic",9,2,2,"170",295.7,2,"G2","ITS"
"H11_1_ITS","H11","H","Pea","BlueRiverOrganic",11,2,1,"171",314.8,2,"G3","ITS"
"H11_2_ITS","H11","H","Pea","BlueRiverOrganic",11,2,2,"172",290.2,2,"G4","ITS"
"H14_1_ITS","H14","H","Pea","BlueRiverOrganic",14,2,1,"173",320,2,"G5","ITS"
"H14_2_ITS","H14","H","Pea","BlueRiverOrganic",14,2,2,"174",291.9,2,"G6","ITS"
"H17_1_ITS","H17","H","Pea","BlueRiverOrganic",17,3,1,"175",305.3,2,"G7","ITS"
"H17_2_ITS","H17","H","Pea","BlueRiverOrganic",17,3,2,"176",307.8,2,"G8","ITS"
"H18_1_ITS","H18","H","Pea","BlueRiverOrganic",18,3,1,"177",308.6,2,"G9","ITS"
"H18_2_ITS","H18","H","Pea","BlueRiverOrganic",18,3,2,"178",291.5,2,"G10","ITS"
"H20_1_ITS","H20","H","Pea","BlueRiverOrganic",20,3,1,"179",306.8,2,"G11","ITS"
"A28_2_ITS","A28","A","Fallow","MastersChoice",28,4,2,"18",289.2,1,"B6","ITS"
"H20_2_ITS","H20","H","Pea","BlueRiverOrganic",20,3,2,"180",309.7,2,"G12","ITS"
"H25_1_ITS","H25","H","Pea","BlueRiverOrganic",25,4,1,"181",314.2,2,"H1","ITS"
"H25_2_ITS","H25","H","Pea","BlueRiverOrganic",25,4,2,"182",310.8,2,"H2","ITS"
"H28_1_ITS","H28","H","Pea","BlueRiverOrganic",28,4,1,"183",318.1,2,"H3","ITS"
"H28_2_ITS","H28","H","Pea","BlueRiverOrganic",28,4,2,"184",309.1,2,"H4","ITS"
"H29_1_ITS","H29","H","Pea","BlueRiverOrganic",29,4,1,"185",296.1,2,"H5","ITS"
"H29_2_ITS","H29","H","Pea","BlueRiverOrganic",29,4,2,"186",306.1,2,"H6","ITS"
"H33_1_ITS","H33","H","Pea","BlueRiverOrganic",33,5,1,"187",292.4,2,"H7","ITS"
"H33_2_ITS","H33","H","Pea","BlueRiverOrganic",33,5,2,"188",316.2,2,"H8","ITS"
"H34_1_ITS","H34","H","Pea","BlueRiverOrganic",34,5,1,"189",307.3,2,"H9","ITS"
"A34_1_ITS","A34","A","Fallow","MastersChoice",34,5,1,"19",313.4,1,"B7","ITS"
"H34_2_ITS","H34","H","Pea","BlueRiverOrganic",34,5,2,"190",305.2,2,"H10","ITS"
"H37_1_ITS","H37","H","Pea","BlueRiverOrganic",37,5,1,"191",299.8,2,"H11","ITS"
"H37_2_ITS","H37","H","Pea","BlueRiverOrganic",37,5,2,"192",285.6,2,"H12","ITS"
"I09_1_ITS","I09","I","Radish","BlueRiverOrganic",9,2,1,"193",308.4,3,"A1","ITS"
"I09_2_ITS","I09","I","Radish","BlueRiverOrganic",9,2,2,"194",284.1,3,"A2","ITS"
"I11_1_ITS","I11","I","Radish","BlueRiverOrganic",11,2,1,"195",307.1,3,"A3","ITS"
"I11_2_ITS","I11","I","Radish","BlueRiverOrganic",11,2,2,"196",308.8,3,"A4","ITS"
"I13_1_ITS","I13","I","Radish","BlueRiverOrganic",13,2,1,"197",318.4,3,"A5","ITS"
"I13_2_ITS","I13","I","Radish","BlueRiverOrganic",13,2,2,"198",303.4,3,"A6","ITS"
"I17_1_ITS","I17","I","Radish","BlueRiverOrganic",17,3,1,"199",285.9,3,"A7","ITS"
"A09_2_ITS","A09","A","Fallow","MastersChoice",9,2,2,"2",299.3,1,"A2","ITS"
"A34_2_ITS","A34","A","Fallow","MastersChoice",34,5,2,"20",319,1,"B8","ITS"
"I17_2_ITS","I17","I","Radish","BlueRiverOrganic",17,3,2,"200",291.5,3,"A8","ITS"
"I18_1_ITS","I18","I","Radish","BlueRiverOrganic",18,3,1,"201",313.8,3,"A9","ITS"
"I18_2_ITS","I18","I","Radish","BlueRiverOrganic",18,3,2,"202",295.8,3,"A10","ITS"
"I20_1_ITS","I20","I","Radish","BlueRiverOrganic",20,3,1,"203",291.1,3,"A11","ITS"
"I20_2_ITS","I20","I","Radish","BlueRiverOrganic",20,3,2,"204",305.9,3,"A12","ITS"
"I26_1_ITS","I26","I","Radish","BlueRiverOrganic",26,4,1,"205",303.9,3,"B1","ITS"
"I26_2_ITS","I26","I","Radish","BlueRiverOrganic",26,4,2,"206",308.8,3,"B2","ITS"
"I28_1_ITS","I28","I","Radish","BlueRiverOrganic",28,4,1,"207",311.2,3,"B3","ITS"
"I28_2_ITS","I28","I","Radish","BlueRiverOrganic",28,4,2,"208",313.5,3,"B4","ITS"
"I29_1_ITS","I29","I","Radish","BlueRiverOrganic",29,4,1,"209",312.2,3,"B5","ITS"
"A37_1_ITS","A37","A","Fallow","MastersChoice",37,5,1,"21",293.7,1,"B9","ITS"
"I29_2_ITS","I29","I","Radish","BlueRiverOrganic",29,4,2,"210",294.8,3,"B6","ITS"
"I33_1_ITS","I33","I","Radish","BlueRiverOrganic",33,5,1,"211",299.7,3,"B7","ITS"
"I33_2_ITS","I33","I","Radish","BlueRiverOrganic",33,5,2,"212",282.5,3,"B8","ITS"
"I35_1_ITS","I35","I","Radish","BlueRiverOrganic",35,5,1,"213",310.2,3,"B9","ITS"
"I35_2_ITS","I35","I","Radish","BlueRiverOrganic",35,5,2,"214",300,3,"B10","ITS"
"I38_1_ITS","I38","I","Radish","BlueRiverOrganic",38,5,1,"215",281.9,3,"B11","ITS"
"I38_2_ITS","I38","I","Radish","BlueRiverOrganic",38,5,2,"216",317.2,3,"B12","ITS"
"J10_1_ITS","J10","J","Triticale","BlueRiverOrganic",10,2,1,"217",311.2,3,"C1","ITS"
"J10_2_ITS","J10","J","Triticale","BlueRiverOrganic",10,2,2,"218",307.3,3,"C2","ITS"
"J11_1_ITS","J11","J","Triticale","BlueRiverOrganic",11,2,1,"219",310.2,3,"C3","ITS"
"A37_2_ITS","A37","A","Fallow","MastersChoice",37,5,2,"22",292.6,1,"B10","ITS"
"J11_2_ITS","J11","J","Triticale","BlueRiverOrganic",11,2,2,"220",283.4,3,"C4","ITS"
"J14_1_ITS","J14","J","Triticale","BlueRiverOrganic",14,2,1,"221",316.6,3,"C5","ITS"
"J14_2_ITS","J14","J","Triticale","BlueRiverOrganic",14,2,2,"222",313,3,"C6","ITS"
"J17_1_ITS","J17","J","Triticale","BlueRiverOrganic",17,3,1,"223",289.7,3,"C7","ITS"
"J17_2_ITS","J17","J","Triticale","BlueRiverOrganic",17,3,2,"224",317.1,3,"C8","ITS"
"J22_1_ITS","J22","J","Triticale","BlueRiverOrganic",22,3,1,"225",316.4,3,"C9","ITS"
"J22_2_ITS","J22","J","Triticale","BlueRiverOrganic",22,3,2,"226",318.6,3,"C10","ITS"
"J23_1_ITS","J23","J","Triticale","BlueRiverOrganic",23,3,1,"227",313.7,3,"C11","ITS"
"J23_2_ITS","J23","J","Triticale","BlueRiverOrganic",23,3,2,"228",313.5,3,"C12","ITS"
